"lang"
{
"Language"	"swedish"
"Tokens"
{
"ep2_Chapter0_Title"	"BERÄTTELSEN HITTILLS ..."
"[english]ep2_Chapter0_Title"	"OUR STORY SO FAR..."
"ep2_Chapter1_Title"	"MOT WHITE FOREST"
"[english]ep2_Chapter1_Title"	"TO THE WHITE FOREST"
"ep2_Chapter2_Title"	"VORTALT FATALT"
"[english]ep2_Chapter2_Title"	"THIS VORTAL COIL"
"ep2_Chapter3_Title"	"FREEMAN BROBYGGAREN"
"[english]ep2_Chapter3_Title"	"FREEMAN PONTIFEX"
"ep2_Chapter4_Title"	"I PASSAGERARSÄTET"
"[english]ep2_Chapter4_Title"	"RIDING SHOTGUN"
"ep2_Chapter5_Title"	"UNDER RADARN"
"[english]ep2_Chapter5_Title"	"UNDER THE RADAR"
"ep2_Chapter6_Title"	"VÅR GEMENSAMME FIENDE"
"[english]ep2_Chapter6_Title"	"OUR MUTUAL FIEND"
"ep2_Chapter7_Title"	"T-MINUS ETT"
"[english]ep2_Chapter7_Title"	"T-MINUS ONE"
"ep2_Chapter8_Title"	" "
"[english]ep2_Chapter8_Title"	" "
"hl2_AmmoFull"	"FULLT"
"[english]hl2_AmmoFull"	"FULL"
"HL2_GameOver_Object"	"HÄR TAR DET SLUT\nFREEMAN HAR MISSLYCKATS MED ATT BEVARA RESURSER\nSOM VAR KRITISKA FÖR SEGER\nOFRÅNKOMLIGA GLIMTAR AV UNDERGÅNGEN SKYMMER VORTESSENSEN"
"[english]HL2_GameOver_Object"	"IT ENDS HERE\nTHE FREEMAN HAS FAILED TO PRESERVE RESOURCES\nDEEMED CRITICAL TO VICTORY\nINESCAPABLE GLIMPSES OF DOOM CLOUD THE VORTESSENCE"
"HL2_GameOver_Ally"	"SLUTET ÄR HÄR\nFREEMAN HAR MISSLYCKATS MED ATT BEVARA ETT LIV KRITISKT FÖR SEGERN\nSÅDANA ÄR FORMERNA VI SER I VORTESSENSEN"
"[english]HL2_GameOver_Ally"	"SO IT ENDS\nTHE FREEMAN HAS FAILED TO PRESERVE A LIFE REQUIRED FOR VICTORY\nSUCH ARE THE SHAPES WE SEE IN THE VORTESSENCE"
"HL2_GameOver_Timer"	"ALLT ÄR GJORT\nFREEMANS MISSLYCKANDE MED ATT FÅ EN SNABB SEGER\nORSAKAR VÅRT TOTALA NEDERLAG"
"[english]HL2_GameOver_Timer"	"ALL IS DONE\nTHE FREEMAN'S FAILURE TO SEIZE A SWIFT VICTORY\nLEADS TO OUR TOTAL DEFEAT"
"HL2_GameOver_Stuck"	"UPPDRAG: AVBRUTET\nFÖREMÅL: FREEMAN\nORSAK: HAR VISAT PROV PÅ MYCKET DÅLIGT OMDÖME"
"[english]HL2_GameOver_Stuck"	"ASSIGNMENT: TERMINATED\nSUBJECT: FREEMAN\nREASON: DEMONSTRATION OF EXCEEDINGLY POOR JUDGMENT"
"Episodic_GameOver_AlyxDead"	"ALYX VANCE HAR DÖTT\nUTAN HENNE KAN VI INTE HÄRDA UT"
"[english]Episodic_GameOver_AlyxDead"	"THE ALYX VANCE HAS DIED\nWITHOUT HER WE CANNOT PERSEVERE"
"EP2_GameOver_AlyxLeft"	"FREEMAN MÅSTE FORTSÄTTA MED ALYX VANCE,\nANNARS ÄR VÅR KAMP DÖMD ATT MISSLYCKAS\nDE SOM INTE LÄR SIG AV SINA MISSTAG\nÄR DÖMDA TILL EN OÄNDLIG VORTCIRKEL"
"[english]EP2_GameOver_AlyxLeft"	"THE FREEMAN MUST PROCEED WITH THE ALYX VANCE,\nELSE OUR STRUGGLE IS DOOMED TO FAILURE\nTHOSE WHO DO NOT LEARN FROM THEIR MISTAKES\nARE DOOMED TO AN ENDLESS VORTAL LOOP"
"EP2_GameOver_RocketDestroyed"	"RAKETEN HAR FÖRSTÖRTS\nMAGNUSSONS DUBIER OM FREEMAN\n ÄR HELT RÄTTFÄRDIGADE.\nSPELET ÄR NU SLUT"
"[english]EP2_GameOver_RocketDestroyed"	"THE ROCKET HAS BEEN DESTROYED\nMAGNUSSON'S MISGIVINGS ABOUT THE FREEMAN\n ARE COMPLETELY JUSTIFIED.\nTHE GAME NOW ENDS"
"HL2_357Handgun"	".357 MAGNUM"
"[english]HL2_357Handgun"	".357 MAGNUM"
"HL2_Pulse_Rifle"	"OVERWATCH STANDARD ISSUE\n(PULSGEVÄR)"
"[english]HL2_Pulse_Rifle"	"OVERWATCH STANDARD ISSUE\n(PULSE-RIFLE)"
"HL2_Bugbait"	"PHEROPOD\n(INSEKTSBETE)"
"[english]HL2_Bugbait"	"PHEROPOD\n(BUGBAIT)"
"HL2_Crossbow"	"ARMBORST"
"[english]HL2_Crossbow"	"CROSSBOW"
"HL2_Crowbar"	"KOFOT"
"[english]HL2_Crowbar"	"CROWBAR"
"HL2_Grenade"	"GRANAT"
"[english]HL2_Grenade"	"GRENADE"
"HL2_GravityGun"	"ZERO-POINT ENERGY GUN\n(GRAVITATIONSVAPEN)"
"[english]HL2_GravityGun"	"ZERO-POINT ENERGY GUN\n(GRAVITY GUN)"
"HL2_Pistol"	"9 MM PISTOL"
"[english]HL2_Pistol"	"9MM PISTOL"
"HL2_RPG"	"RPG\n(RAKETDRIVEN GRANAT)"
"[english]HL2_RPG"	"RPG\n(ROCKET PROPELLED GRENADE)"
"HL2_Shotgun"	"HAGELGEVÄR"
"[english]HL2_Shotgun"	"SHOTGUN"
"HL2_SMG1"	"SMG\n(KULSPRUTA)"
"[english]HL2_SMG1"	"SMG\n(SUBMACHINE GUN)"
"HL2_Saved"	"Sparat ..."
"[english]HL2_Saved"	"Saved..."
"HL2_Enable_Commentary"	"Aktivera kommentatorspår"
"[english]HL2_Enable_Commentary"	"Enable commentary track"
"Valve_Hint_Crouch"	"%+duck% DUCKA"
"[english]Valve_Hint_Crouch"	"%+duck% CROUCH"
"Valve_Hint_Sprint"	"%+speed% SPRING"
"[english]Valve_Hint_Sprint"	"%+speed% SPRINT"
"Valve_Hint_PushButton"	"%+use% KNAPP"
"[english]Valve_Hint_PushButton"	"%+use% PUSH BUTTON"
"Valve_Hint_PicKUp"	"%+use% TA UPP"
"[english]Valve_Hint_PicKUp"	"%+use% PICK UP"
"Valve_Hint_Interact"	"%+use% SAMVERKA"
"[english]Valve_Hint_Interact"	"%+use% INTERACT"
"Valve_Hint_GravGun"	"%+attack% KASTA OBJEKT %+attack2% DRA I OBJEKT"
"[english]Valve_Hint_GravGun"	"%+attack% PUNT OBJECT %+attack2% PULL OBJECT"
"Valve_Hint_CarryTurret"	"%+use% ELLER GRAVITATIONSVAPEN TILL ATT TA UPP TORN"
"[english]Valve_Hint_CarryTurret"	"%+use% OR GRAVITY GUN TO PICK UP TURRET"
"Valve_Hint_CROSSBOW"	"%+attack2% ZOOMA ARMBORST"
"[english]Valve_Hint_CROSSBOW"	"%+attack2% CROSSBOW ZOOM"
"HL2_Credits_VoicesTitle"	"Röster:"
"[english]HL2_Credits_VoicesTitle"	"Voices:"
"HL2_Credits_Eli"	"Robert Guillaume – Dr. Eli Vance"
"[english]HL2_Credits_Eli"	"Robert Guillaume - Dr. Eli Vance"
"HL2_Credits_Breen"	"Robert Culp – Dr. Wallace Breen"
"[english]HL2_Credits_Breen"	"Robert Culp - Dr. Wallace Breen"
"HL2_Credits_Vortigaunt"	"Lou Gossett, Jr. – Vortigaunt"
"[english]HL2_Credits_Vortigaunt"	"Lou Gossett, Jr. - Vortigaunt"
"HL2_Credits_Mossman"	"Michelle Forbes – Dr. Judith Mossman"
"[english]HL2_Credits_Mossman"	"Michelle Forbes - Dr. Judith Mossman"
"HL2_Credits_Alyx"	"Merle Dandridge – Alyx Vance"
"[english]HL2_Credits_Alyx"	"Merle Dandridge - Alyx Vance"
"HL2_Credits_Barney"	"Mike Shapiro – Barney Calhoun"
"[english]HL2_Credits_Barney"	"Mike Shapiro - Barney Calhoun"
"HL2_Credits_Gman"	"Mike Shapiro – Gman"
"[english]HL2_Credits_Gman"	"Mike Shapiro - Gman"
"HL2_Credits_Kleiner"	"Harry S. Robins – Dr. Isaac Kleiner"
"[english]HL2_Credits_Kleiner"	"Harry S. Robins - Dr. Isaac Kleiner"
"HL2_Credits_Grigori"	"Jim French – Father Grigori"
"[english]HL2_Credits_Grigori"	"Jim French - Father Grigori"
"HL2_Credits_Misc1"	"John Patrick Lowrie – Medborgare\\Div. figurer"
"[english]HL2_Credits_Misc1"	"John Patrick Lowrie - Citizens\\Misc. characters"
"HL2_Credits_Misc2"	"Mary Kae Irvin – Medborgare\\Div. figurer"
"[english]HL2_Credits_Misc2"	"Mary Kae Irvin - Citizens\\Misc. characters"
"HL2_Credits_Overwatch"	"Ellen McLain – Overwatch"
