"lang"
{
"Language"	"turkish"
"Tokens"
{
"ep2_Chapter0_Title"	"NEREDE KALMISTIK..."
"[english]ep2_Chapter0_Title"	"OUR STORY SO FAR..."
"ep2_Chapter1_Title"	"WHITE FOREST'A DOGRU"
"[english]ep2_Chapter1_Title"	"TO THE WHITE FOREST"
"ep2_Chapter2_Title"	"VORTAL KARGASA"
"[english]ep2_Chapter2_Title"	"THIS VORTAL COIL"
"ep2_Chapter3_Title"	"KADIM FREEMAN"
"[english]ep2_Chapter3_Title"	"FREEMAN PONTIFEX"
"ep2_Chapter4_Title"	"SHOTGUN'I SÜRMEK"
"[english]ep2_Chapter4_Title"	"RIDING SHOTGUN"
"ep2_Chapter5_Title"	"RADAR ALTINDA"
"[english]ep2_Chapter5_Title"	"UNDER THE RADAR"
"ep2_Chapter6_Title"	"ORTAK DÜSMANIMIZ"
"[english]ep2_Chapter6_Title"	"OUR MUTUAL FIEND"
"ep2_Chapter7_Title"	"GERI SAYIM"
"[english]ep2_Chapter7_Title"	"T-MINUS ONE"
"ep2_Chapter8_Title"	" "
"[english]ep2_Chapter8_Title"	" "
"hl2_AmmoFull"	"DOLU"
"[english]hl2_AmmoFull"	"FULL"
"HL2_GameOver_Object"	"BURAYA KADAR\nFREEMAN ZAFER IÇIN ÇOK ÖNEMLI OLAN KAYNAKLARI\nKORUMADA BASARISIZ OLDU\nKAÇINILMAZ KADER BULUTU VORTESSENCE ÜZERINE ÇÖKTÜ"
"[english]HL2_GameOver_Object"	"IT ENDS HERE\nTHE FREEMAN HAS FAILED TO PRESERVE RESOURCES\nDEEMED CRITICAL TO VICTORY\nINESCAPABLE GLIMPSES OF DOOM CLOUD THE VORTESSENCE"
"HL2_GameOver_Ally"	"BURAYA KADAR\nFREEMAN ZAFER IÇIN GEREKLI BIR YASAMI KORUYAMADI\nTIPKI VORTESSENCE'DE GÖRDÜGÜMÜZ GIBI"
"[english]HL2_GameOver_Ally"	"SO IT ENDS\nTHE FREEMAN HAS FAILED TO PRESERVE A LIFE REQUIRED FOR VICTORY\nSUCH ARE THE SHAPES WE SEE IN THE VORTESSENCE"
"HL2_GameOver_Timer"	"YAPILACAK BASKA BIR SEY YOK\nFREEMAN'IN ZAFER IÇIN ELINI ÇABUK TUTAMAMASI\nHEPIMIZIN YENILGISINE NEDEN OLDU"
"[english]HL2_GameOver_Timer"	"ALL IS DONE\nTHE FREEMAN'S FAILURE TO SEIZE A SWIFT VICTORY\nLEADS TO OUR TOTAL DEFEAT"
"HL2_GameOver_Stuck"	"GÖREV: FESHEDILDI\nÖZNE: FREEMAN\nNEDEN: VERILEN KARARIN KÖTÜ SONUÇLAR DOGURMASI"
"[english]HL2_GameOver_Stuck"	"ASSIGNMENT: TERMINATED\nSUBJECT: FREEMAN\nREASON: DEMONSTRATION OF EXCEEDINGLY POOR JUDGMENT"
"Episodic_GameOver_AlyxDead"	"ALYX VANCE ÖLDÜ\nONSUZ DEVAM EDEMEYIZ"
"[english]Episodic_GameOver_AlyxDead"	"THE ALYX VANCE HAS DIED\nWITHOUT HER WE CANNOT PERSEVERE"
"EP2_GameOver_AlyxLeft"	"FREEMAN YOLA ALYX VANCE ILE BIRLIKTE DEVAM ETMELI,\nBU DURUMUN AKSI OLDUGUNDAN MÜCADELEMIZ BASARISIZLIKLA SONUÇLANDI\nHATALARINDAN DERS ALMAYANLAR\nSONSUZ BIR VORTAL DÖNGÜNÜN IÇINE HAPSOLDU "
"[english]EP2_GameOver_AlyxLeft"	"THE FREEMAN MUST PROCEED WITH THE ALYX VANCE,\nELSE OUR STRUGGLE IS DOOMED TO FAILURE\nTHOSE WHO DO NOT LEARN FROM THEIR MISTAKES\nARE DOOMED TO AN ENDLESS VORTAL LOOP"
"EP2_GameOver_RocketDestroyed"	"ROKET IMHA EDILDI\nMAGNUSSON'UN FREEMAN HAKKINDAKI KUSKULARI\n TAMAMEN HAKLI ÇIKTI.\nISTE SIMDI OYUN BITTI"
"[english]EP2_GameOver_RocketDestroyed"	"THE ROCKET HAS BEEN DESTROYED\nMAGNUSSON'S MISGIVINGS ABOUT THE FREEMAN\n ARE COMPLETELY JUSTIFIED.\nTHE GAME NOW ENDS"
"HL2_357Handgun"	".357 MAGNUM"
"[english]HL2_357Handgun"	".357 MAGNUM"
"HL2_Pulse_Rifle"	"STANDART GÜVENLIK GÜÇLERI EKIPMANI\n(ENERJI TÜFEGI)"
"[english]HL2_Pulse_Rifle"	"OVERWATCH STANDARD ISSUE\n(PULSE-RIFLE)"
"HL2_Bugbait"	"PHEROPOD\n(BÖCEK YEMI)"
"[english]HL2_Bugbait"	"PHEROPOD\n(BUGBAIT)"
"HL2_Crossbow"	"ARBALET"
"[english]HL2_Crossbow"	"CROSSBOW"
"HL2_Crowbar"	"LEVYE"
"[english]HL2_Crowbar"	"CROWBAR"
"HL2_Grenade"	"EL BOMBASI"
"[english]HL2_Grenade"	"GRENADE"
"HL2_GravityGun"	"SIFIR-NOKTASAL ENERJI SILAHI\n(YER ÇEKIMI SILAHI)"
"[english]HL2_GravityGun"	"ZERO-POINT ENERGY GUN\n(GRAVITY GUN)"
"HL2_Pistol"	"9MMLIK TABANCA"
"[english]HL2_Pistol"	"9MM PISTOL"
"HL2_RPG"	"ROKETATAR\n(ROKET GÜDÜMLÜ BOMBA)"
"[english]HL2_RPG"	"RPG\n(ROCKET PROPELLED GRENADE)"
"HL2_Shotgun"	"AV TÜFEGI"
"[english]HL2_Shotgun"	"SHOTGUN"
"HL2_SMG1"	"SMG\n(HAFIF MAKINELI SILAH)"
"[english]HL2_SMG1"	"SMG\n(SUBMACHINE GUN)"
"HL2_Saved"	"Kaydedildi..."
"[english]HL2_Saved"	"Saved..."
"HL2_Enable_Commentary"	"Yorum parçasini etkinlestir"
"[english]HL2_Enable_Commentary"	"Enable commentary track"
"Valve_Hint_Crouch"	"%+duck% ÇÖMEL"
"[english]Valve_Hint_Crouch"	"%+duck% CROUCH"
"Valve_Hint_Sprint"	"%+speed% KOSMA"
"[english]Valve_Hint_Sprint"	"%+speed% SPRINT"
"Valve_Hint_PushButton"	"%+use% TUSA BAS"
"[english]Valve_Hint_PushButton"	"%+use% PUSH BUTTON"
"Valve_Hint_PicKUp"	"%+use% AL"
"[english]Valve_Hint_PicKUp"	"%+use% PICK UP"
"Valve_Hint_Interact"	"%+use% ETKILESIM"
"[english]Valve_Hint_Interact"	"%+use% INTERACT"
"Valve_Hint_GravGun"	"%+attack% NESNEYI ITTIR %+attack2% NESNEYI ÇEK"
"[english]Valve_Hint_GravGun"	"%+attack% PUNT OBJECT %+attack2% PULL OBJECT"
"Valve_Hint_CarryTurret"	"%+use% VEYA TARETI ALMAK IÇIN YER ÇEKIMI SILAHINI KULLAN"
"[english]Valve_Hint_CarryTurret"	"%+use% OR GRAVITY GUN TO PICK UP TURRET"
"Valve_Hint_CROSSBOW"	"%+attack2% ARBALET YAKINLASTIRMASI"
"[english]Valve_Hint_CROSSBOW"	"%+attack2% CROSSBOW ZOOM"
"HL2_Credits_VoicesTitle"	"Seslendirenler:"
"[english]HL2_Credits_VoicesTitle"	"Voices:"
"HL2_Credits_Eli"	"Robert Guillaume - Dr. Eli Vance"
"[english]HL2_Credits_Eli"	"Robert Guillaume - Dr. Eli Vance"
"HL2_Credits_Breen"	"Robert Culp - Dr. Wallace Breen"
"[english]HL2_Credits_Breen"	"Robert Culp - Dr. Wallace Breen"
"HL2_Credits_Vortigaunt"	"Lou Gossett, Jr. - Vortigaunt"
"[english]HL2_Credits_Vortigaunt"	"Lou Gossett, Jr. - Vortigaunt"
"HL2_Credits_Mossman"	"Michelle Forbes - Dr. Judith Mossman"
"[english]HL2_Credits_Mossman"	"Michelle Forbes - Dr. Judith Mossman"
"HL2_Credits_Alyx"	"Merle Dandridge - Alyx Vance"
"[english]HL2_Credits_Alyx"	"Merle Dandridge - Alyx Vance"
"HL2_Credits_Barney"	"Mike Shapiro - Barney Calhoun"
"[english]HL2_Credits_Barney"	"Mike Shapiro - Barney Calhoun"
"HL2_Credits_Gman"	"Mike Shapiro - Gman"
"[english]HL2_Credits_Gman"	"Mike Shapiro - Gman"
"HL2_Credits_Kleiner"	"Harry S. Robins - Dr. Isaac Kleiner"
"[english]HL2_Credits_Kleiner"	"Harry S. Robins - Dr. Isaac Kleiner"
"HL2_Credits_Grigori"	"Jim French - Father Grigori"
"[english]HL2_Credits_Grigori"	"Jim French - Father Grigori"
"HL2_Credits_Misc1"	"John Patrick Lowrie - Siviller\\Çesitli karakterler"
"[english]HL2_Credits_Misc1"	"John Patrick Lowrie - Citizens\\Misc. characters"
