"lang"
{
"Language"	"finnish"
"Tokens"
{
"ep2_Chapter0_Title"	"TARINA TÄHÄN SAAKKA..."
"[english]ep2_Chapter0_Title"	"OUR STORY SO FAR..."
"ep2_Chapter1_Title"	"WHITE FORESTIIN"
"[english]ep2_Chapter1_Title"	"TO THE WHITE FOREST"
"ep2_Chapter2_Title"	"VORTAALINEN ELONKIERTO"
"[english]ep2_Chapter2_Title"	"THIS VORTAL COIL"
"ep2_Chapter3_Title"	"FREEMAN PELASTAA"
"[english]ep2_Chapter3_Title"	"FREEMAN PONTIFEX"
"ep2_Chapter4_Title"	"PELKÄÄJÄN PAIKALLA"
"[english]ep2_Chapter4_Title"	"RIDING SHOTGUN"
"ep2_Chapter5_Title"	"TUTKAN ULKOPUOLELLA"
"[english]ep2_Chapter5_Title"	"UNDER THE RADAR"
"ep2_Chapter6_Title"	"YHTEINEN VIHOLLISEMME"
"[english]ep2_Chapter6_Title"	"OUR MUTUAL FIEND"
"ep2_Chapter7_Title"	"LÄHTÖLASKENTA"
"[english]ep2_Chapter7_Title"	"T-MINUS ONE"
"ep2_Chapter8_Title"	" "
"[english]ep2_Chapter8_Title"	" "
"hl2_AmmoFull"	"TÄYSI"
"[english]hl2_AmmoFull"	"FULL"
"HL2_GameOver_Object"	"TÄHÄN SE PÄÄTTYY\nFREEMAN EI ONNISTUNUT SUOJAAMAAN VOITON KANNALTA\nRATKAISEVIA RESURSSEJA\nVÄISTÄMÄTTÖMÄT TUOMIOPÄIVÄN PILVET SUMENTAVAT VORTEISUUTTA"
"[english]HL2_GameOver_Object"	"IT ENDS HERE\nTHE FREEMAN HAS FAILED TO PRESERVE RESOURCES\nDEEMED CRITICAL TO VICTORY\nINESCAPABLE GLIMPSES OF DOOM CLOUD THE VORTESSENCE"
"HL2_GameOver_Ally"	"NÄIN SE SIIS PÄÄTTYY\nFREEMAN EPÄONNISTUI YLLÄPITÄMÄÄN VOITON KANNALTA RATKAISEVAA ELÄMÄÄ\nTÄLLAISIA MUOTOJA HAVAITSEMME VORTEISUUDESSA"
"[english]HL2_GameOver_Ally"	"SO IT ENDS\nTHE FREEMAN HAS FAILED TO PRESERVE A LIFE REQUIRED FOR VICTORY\nSUCH ARE THE SHAPES WE SEE IN THE VORTESSENCE"
"HL2_GameOver_Timer"	"KAIKKI ON PÄÄTTYNYT\nFREEMANIN EPÄONNISTUMINEN RIPEÄN VOITON TAVOITTELUSSA\nJOHTAA MEIDÄN TUHOOMME"
"[english]HL2_GameOver_Timer"	"ALL IS DONE\nTHE FREEMAN'S FAILURE TO SEIZE A SWIFT VICTORY\nLEADS TO OUR TOTAL DEFEAT"
"HL2_GameOver_Stuck"	"TEHTÄVÄ: PÄÄTTYNYT\nKOHDE: FREEMAN\nSYY: ÄÄRIMMÄISEN HEIKON ARVIOINTIKYVYN OSOITTAMINEN"
"[english]HL2_GameOver_Stuck"	"ASSIGNMENT: TERMINATED\nSUBJECT: FREEMAN\nREASON: DEMONSTRATION OF EXCEEDINGLY POOR JUDGMENT"
"Episodic_GameOver_AlyxDead"	"ALYX VANCE ON KUOLLUT\nILMAN HÄNTÄ EMME VOI JATKAA KULKUAMME"
"[english]Episodic_GameOver_AlyxDead"	"THE ALYX VANCE HAS DIED\nWITHOUT HER WE CANNOT PERSEVERE"
"EP2_GameOver_AlyxLeft"	"FREEMANIN ON JATKETTAVA ALYX VANCEN KANSSA,\nTAI MUUTOIN KAMPPAILUMME ON TUOMITTU EPÄONNISTUMAAN\nNE, JOTKA EIVÄT OPI VIRHEISTÄÄN,\nON TUOMITTU LOPUTTOMAAN VORTAALIKIERTEESEEN"
"[english]EP2_GameOver_AlyxLeft"	"THE FREEMAN MUST PROCEED WITH THE ALYX VANCE,\nELSE OUR STRUGGLE IS DOOMED TO FAILURE\nTHOSE WHO DO NOT LEARN FROM THEIR MISTAKES\nARE DOOMED TO AN ENDLESS VORTAL LOOP"
"EP2_GameOver_RocketDestroyed"	"RAKETTI ON TUHOTTU\nMAGNUSSONIN EPÄILYT FREEMANIN SUHTEEN\n OVAT TÄYSIN OIKEUTETTUJA\nPELI PÄÄTTYY NYT"
"[english]EP2_GameOver_RocketDestroyed"	"THE ROCKET HAS BEEN DESTROYED\nMAGNUSSON'S MISGIVINGS ABOUT THE FREEMAN\n ARE COMPLETELY JUSTIFIED.\nTHE GAME NOW ENDS"
"HL2_357Handgun"	".357 MAGNUM"
"[english]HL2_357Handgun"	".357 MAGNUM"
"HL2_Pulse_Rifle"	"OVERWATCH STANDARD ISSUE\n(PULSSIKIVÄÄRI)"
"[english]HL2_Pulse_Rifle"	"OVERWATCH STANDARD ISSUE\n(PULSE-RIFLE)"
"HL2_Bugbait"	"PHEROPOD\n(ÖTÖKKÄSYÖTTI)"
"[english]HL2_Bugbait"	"PHEROPOD\n(BUGBAIT)"
"HL2_Crossbow"	"VARSIJOUSI"
"[english]HL2_Crossbow"	"CROSSBOW"
"HL2_Crowbar"	"SORKKARAUTA"
"[english]HL2_Crowbar"	"CROWBAR"
"HL2_Grenade"	"KRANAATTI"
"[english]HL2_Grenade"	"GRENADE"
"HL2_GravityGun"	"ZERO-POINT ENERGY GUN\n(PAINOVOIMA-ASE)"
"[english]HL2_GravityGun"	"ZERO-POINT ENERGY GUN\n(GRAVITY GUN)"
"HL2_Pistol"	"9 MM:N PISTOOLI"
"[english]HL2_Pistol"	"9MM PISTOL"
"HL2_RPG"	"RPG\n(SINKO)"
"[english]HL2_RPG"	"RPG\n(ROCKET PROPELLED GRENADE)"
"HL2_Shotgun"	"HAULIKKO"
"[english]HL2_Shotgun"	"SHOTGUN"
"HL2_SMG1"	"SMG\n(KONEPISTOOLI)"
"[english]HL2_SMG1"	"SMG\n(SUBMACHINE GUN)"
"HL2_Saved"	"Tallennettu..."
"[english]HL2_Saved"	"Saved..."
"HL2_Enable_Commentary"	"Ota kommenttiraita käyttöön"
"[english]HL2_Enable_Commentary"	"Enable commentary track"
"Valve_Hint_Crouch"	"%+duck% - KUMARRU"
"[english]Valve_Hint_Crouch"	"%+duck% CROUCH"
"Valve_Hint_Sprint"	"%+speed% - PYRÄHDÄ"
"[english]Valve_Hint_Sprint"	"%+speed% SPRINT"
"Valve_Hint_PushButton"	"%+use% - PAINA NAPPIA"
"[english]Valve_Hint_PushButton"	"%+use% PUSH BUTTON"
"Valve_Hint_PicKUp"	"%+use% - POIMI"
"[english]Valve_Hint_PicKUp"	"%+use% PICK UP"
"Valve_Hint_Interact"	"%+use% - JUTTELE"
"[english]Valve_Hint_Interact"	"%+use% INTERACT"
"Valve_Hint_GravGun"	"%+attack% POTKAISE ESINETTÄ %+attack2% VEDÄ ESINETTÄ"
"[english]Valve_Hint_GravGun"	"%+attack% PUNT OBJECT %+attack2% PULL OBJECT"
"Valve_Hint_CarryTurret"	"%+use% TAI NOSTA TYKKI PAINOVOIMA-ASEELLA"
"[english]Valve_Hint_CarryTurret"	"%+use% OR GRAVITY GUN TO PICK UP TURRET"
"Valve_Hint_CROSSBOW"	"%+attack2% - VARSIJOUSEN ZOOM"
"[english]Valve_Hint_CROSSBOW"	"%+attack2% CROSSBOW ZOOM"
"HL2_Credits_VoicesTitle"	"Ääninäyttelijät:"
"[english]HL2_Credits_VoicesTitle"	"Voices:"
"HL2_Credits_Eli"	"Robert Guillaume - tohtori Eli Vance"
"[english]HL2_Credits_Eli"	"Robert Guillaume - Dr. Eli Vance"
"HL2_Credits_Breen"	"Robert Culp - tohtori Wallace Breen"
"[english]HL2_Credits_Breen"	"Robert Culp - Dr. Wallace Breen"
"HL2_Credits_Vortigaunt"	"Lou Gossett, Jr. - Vortigaunt"
"[english]HL2_Credits_Vortigaunt"	"Lou Gossett, Jr. - Vortigaunt"
"HL2_Credits_Mossman"	"Michelle Forbes - tohtori Judith Mossman"
"[english]HL2_Credits_Mossman"	"Michelle Forbes - Dr. Judith Mossman"
"HL2_Credits_Alyx"	"Merle Dandridge - Alyx Vance"
"[english]HL2_Credits_Alyx"	"Merle Dandridge - Alyx Vance"
"HL2_Credits_Barney"	"Mike Shapiro - Barney Calhoun"
"[english]HL2_Credits_Barney"	"Mike Shapiro - Barney Calhoun"
"HL2_Credits_Gman"	"Mike Shapiro - Gman"
"[english]HL2_Credits_Gman"	"Mike Shapiro - Gman"
"HL2_Credits_Kleiner"	"Harry S. Robins - tohtori Isaac Kleiner"
"[english]HL2_Credits_Kleiner"	"Harry S. Robins - Dr. Isaac Kleiner"
"HL2_Credits_Grigori"	"Jim French - Father Grigori"
"[english]HL2_Credits_Grigori"	"Jim French - Father Grigori"
"HL2_Credits_Misc1"	"John Patrick Lowrie - asukkaat / sekalaiset. hahmot"
